,gene_length
AT3G42473,892.0
AT2G04495,1082.0
AT1G76710,2978.0
AT5G62080,1014.0
AT4G10950,2127.0
AT5G47075,364.0
AT3G48330,1216.0
AT1G66700,1517.5
AT3G19680,2040.0
AT3G20993,462.0
AT5G18270,2058.0
AT5G48375,2581.0
AT3G32917,2973.0
AT3G52950,2446.5
AT4G32272,3084.0
AT1G33810,1979.0
AT2G23060,1962.5
AT5G05350,2269.0
AT5G12070,459.0
AT1G22790,2195.5
AT1G38221,2649.0
AT3G62950,864.0
AT1G72170,1489.0
AT5G47200,2235.0
AT5G24550,3244.0
AT1G53270,1830.0
AT4G28040,1836.0
AT5G13565,125.0
AT1G26590,1373.5
AT2G35540,2064.0
AT2G06675,435.0
AT5G58690,3030.0
AT5G48010,4800.0
AT5G28720,822.0
AT4G12135,370.0
AT2G35340,6884.5
AT5G46510,6672.5
AT1G33280,1355.0
AT4G38710,2358.5
AT4G07526,1450.0
AT3G49640,2692.0
AT1G55928,1273.0
AT2G28920,560.0
AT3G03580,2917.0
AT5G23020,3749.0
AT3G07480,1121.0
AT1G53025,3256.0
AT2G27330,1768.0
AT2G38630,2542.0
AT1G54380,3175.0
AT2G17140,4016.5
AT1G51430,1536.0
AT1G20570,4565.5
AT2G40316,3343.0
AT2G12370,6075.0
AT5G34985,5637.0
AT5G37110,5320.0
AT1G41840,5589.0
AT5G40680,1248.0
AT2G09890,3830.0
AT2G06900,2310.0
AT4G03860,3050.0
AT3G57970,1452.0
AT2G41440,3170.0
AT3G57960,1104.0
AT1G76920,1746.0
AT5G32605,1689.0
AT1G12845,776.0
AT1G79810,2743.0
AT5G22794,3506.5
AT5G42580,1860.0
AT4G23760,1212.0
AT1G63270,1957.0
AT3G20070,2270.0
AT3G09430,1793.0
AT1G05760,789.0
AT5G32598,4410.0
AT3G55650,1533.0
AT3G29340,2877.0
AT5G35416,4725.0
AT1G16510,872.0
AT5G41410,4142.0
AT5G27260,988.0
AT5G42240,3567.0
AT3G06880,5767.0
AT3G09840,3804.0
AT1G61170,1189.0
AT1G21245,501.0
AT4G13970,4441.5
AT4G21920,844.0
AT3G53840,2274.0
AT1G54730,5814.0
AT3G61080,2020.5
AT5G12470,2829.0
AT1G04570,2219.0
AT1G54500,926.0
AT4G20970,1321.0
AT4G33480,3077.0
AT5G44875,3352.0
AT2G17210,2211.0
AT3G02090,3369.0
AT1G02170,1891.0
AT1G77100,1244.0
AT5G63720,1739.0
AT1G61050,1627.0
AT3G27185,1264.0
AT2G16660,3173.0
AT3G07940,2544.5
AT5G36540,357.0
AT5G38140,2317.0
AT1G47400,779.0
AT5G40980,756.0
AT2G14940,3082.0
AT3G29525,420.0
AT1G33380,283.0
AT1G07135,908.0
AT5G25475,1981.5
AT3G54220,2892.0
AT4G03824,1164.0
AT5G01830,2865.0
AT5G67070,1358.0
AT5G59920,2591.0
AT1G05640,2520.0
AT1G20360,1241.0
AT3G26190,1645.0
AT3G62230,1616.0
AT1G60420,2655.0
AT5G54745,978.0
AT1G50690,1088.0
AT1G26140,833.0
AT2G10230,2577.0
AT5G33232,2463.0
AT3G58170,1726.0
AT1G53340,2149.0
AT4G33920,2530.0
AT2G12250,957.0
AT4G15130,1916.0
AT1G59910,3406.0
AT3G61028,2171.0
AT3G02310,2858.5
AT2G13320,390.0
AT3G32190,1280.0
AT3G09650,2624.0
AT5G21130,1023.0
AT1G40119,1896.0
AT3G06220,1623.0
AT2G11300,2678.0
AT2G36260,1058.0
AT2G19050,2100.5
AT3G59380,1838.0
AT4G20260,2791.0
AT5G45330,3279.0
AT5G22799,978.5
AT2G14130,4646.0
AT3G61960,3541.0
AT4G06632,1800.0
AT2G19160,4046.0
AT1G79960,888.0
AT3G61150,4825.0
AT1G42370,1860.0
AT3G06940,3144.0
AT1G53490,2676.0
AT4G01700,1198.0
AT1G44870,486.0
AT1G49580,3311.0
AT4G20680,1608.0
AT1G61400,3571.0
AT3G12780,2387.0
AT3G14960,2274.0
AT1G71900,3070.0
AT1G61340,1679.5
AT2G05240,4108.0
AT4G06621,1197.0
AT3G50845,1280.0
AT2G21920,3750.0
AT5G15802,1302.0
AT1G29350,5401.0
AT5G26290,1948.0
AT5G19390,6945.0
AT2G25330,2386.0
AT1G31950,2926.0
AT5G44360,1840.5
AT1G49800,1104.0
AT3G24780,2663.0
AT1G32280,813.0
AT3G26350,1453.5
AT5G45085,3834.0
AT1G01390,1812.5
AT5G53810,2871.0
AT2G46890,1532.0
AT2G05960,5172.0
AT2G11165,3988.0
AT3G05300,588.0
AT1G28220,1278.0
AT3G08640,1460.0
AT1G78690,2185.0
AT5G50100,1644.0
AT1G27135,366.0
AT1G03310,3400.0
AT3G16030,3432.0
AT2G16505,932.0
AT5G57210,3154.5
AT3G58000,881.0
AT3G32160,514.0
AT5G42860,1972.0
AT5G20190,2112.0
AT5G64730,2193.0
AT1G04500,3017.5
AT2G12240,1317.0
AT2G43290,996.0
AT5G30852,1314.0
AT5G10300,1341.5
AT1G56340,2962.5
AT2G07290,475.0
AT2G36985,566.0
AT1G10410,3262.0
AT2G36760,1628.0
AT1G65700,2092.0
AT4G28770,1931.5
AT2G15480,3550.5
AT2G14282,501.0
AT5G33200,3090.0
AT3G03550,1634.0
AT5G30380,1177.0
AT3G42870,1824.0
AT4G26740,1856.0
AT2G36080,2509.0
AT3G61260,1791.0
AT1G72740,2665.0
AT3G53820,668.0
AT3G30300,3471.0
AT1G24388,596.0
AT2G29650,2711.0
AT1G40101,12954.0
AT3G51420,2321.0
AT4G31530,3574.0
AT3G05050,3604.0
AT2G40205,448.0
AT2G03680,1153.0
AT5G01015,543.5
AT1G74430,1438.0
AT3G10990,534.0
AT5G67510,878.0
AT3G53260,3097.0
AT2G23010,3892.0
AT4G15970,2043.0
AT4G07770,1938.0
AT1G31620,954.0
AT3G43158,1182.0
AT5G45310,1821.5
AT1G25310,711.0
AT5G15480,1209.0
AT4G38940,1441.0
AT1G69080,1585.5
AT5G25310,2620.0
AT1G27360,3130.0
AT4G06501,1089.0
AT1G04210,5365.0
AT4G35750,1599.0
AT2G01080,1486.0
AT3G30770,2793.0
AT2G19410,4196.0
AT4G36250,2924.0
AT5G37710,3055.0
AT3G06970,1519.0
AT1G78850,1676.0
AT4G27690,2847.0
AT5G49746,320.0
AT1G64700,931.0
AT5G11940,3135.0
AT5G64920,1555.0
AT2G34510,3039.5
AT1G53650,2536.0
AT2G20725,2180.0
AT5G01630,6256.0
AT1G14930,842.0
AT4G02500,2235.0
AT1G65870,1076.0
AT3G52280,2396.0
AT1G68610,749.0
AT2G41760,2683.0
AT5G62670,6002.0
AT1G29435,1695.0
AT5G04990,2549.0
AT2G06973,294.0
AT5G50915,2360.5
AT4G16807,2376.0
AT1G66180,1719.0
AT5G07450,1021.0
AT3G11870,2096.0
AT2G42440,1136.0
AT2G39670,3115.0
AT5G13730,1807.0
AT3G30846,4369.0
AT1G75860,1885.5
AT2G29990,2766.0
AT5G20710,3319.0
AT2G19750,1240.0
AT4G21445,1171.0
AT2G36540,1213.0
AT2G33855,897.0
AT1G08760,3580.0
AT1G22090,1718.0
AT5G50210,3438.0
AT5G65687,3193.0
AT2G46500,2738.0
AT1G29990,1619.0
AT2G17630,1518.0
AT1G21110,1623.0
AT2G27270,938.0
AT3G56220,1556.5
AT1G16610,3266.0
AT2G14140,4310.0
AT2G35795,1401.0
AT3G56010,1412.0
AT4G10730,5282.5
AT1G57613,534.0
AT3G49990,2115.0
AT5G03670,2560.5
AT5G07480,2358.0
AT1G14970,3495.0
AT2G28010,1320.0
AT3G01390,1615.0
AT2G02000,2701.0
AT2G39280,5314.5
AT1G20890,1572.5
AT5G22990,975.0
AT2G42740,1451.0
AT1G20800,1523.0
AT4G02570,5140.0
AT3G29775,4047.0
AT3G63300,2855.0
AT1G67100,1192.0
AT5G61550,3710.5
AT3G15370,1629.0
AT5G07200,1787.0
AT1G75540,1915.0
ATCG01100,2163.0
AT1G53345,1335.0
AT1G55950,829.0
AT5G11460,2444.0
AT1G36580,2098.0
AT4G16420,3537.0
AT2G32390,3915.0
AT5G39850,1566.0
AT1G68490,2802.0
AT1G29355,1492.0
AT2G11100,2088.0
AT4G15990,881.0
AT3G09640,2173.5
AT4G18060,3384.0
AT3G43970,674.0
AT4G06484,960.0
AT1G02520,5329.0
AT4G31000,2737.0
AT1G30990,1297.0
AT4G24972,2878.0
AT2G20810,1988.0
AT3G50550,1170.5
AT1G73580,1026.0
AT2G10740,834.0
AT1G37200,5318.0
AT1G35630,1547.0
AT1G71840,2414.0
AT3G15130,2970.0
AT3G12270,2896.0
AT1G68690,3952.0
AT5G08141,662.0
AT2G12000,375.0
AT1G07210,1767.0
AT2G41530,2366.0
AT4G22505,1864.0
AT2G41230,950.0
AT1G33355,28.0
AT1G35360,755.0
AT3G22590,2005.0
AT5G46350,2893.0
AT4G01770,2404.0
AT3G15980,7202.0
AT1G28760,1803.0
AT3G18780,2334.0
AT1G73177,1283.0
AT5G35870,922.0
ATCG00050,1105.0
AT5G34829,219.0
AT2G20320,5916.5
AT2G19950,5558.5
AT2G13840,2684.0
AT1G56070,3942.0
AT4G32940,3254.0
AT2G42930,405.0
AT1G64065,1275.0
AT3G30743,3467.0
AT1G62360,3482.0
AT3G53590,5870.0
AT3G23710,2630.0
AT2G31780,2215.0
AT2G29730,1738.0
AT4G16550,1815.0
AT1G61790,2132.0
AT2G33205,2870.0
AT1G30670,1016.0
AT1G76650,963.0
AT5G29028,1495.0
AT4G07937,2556.0
AT4G19870,1782.0
AT5G12085,4506.0
AT1G47485,640.0
AT1G51920,429.0
AT3G50070,1701.0
AT1G06020,1914.0
AT3G42360,1320.0
AT1G68130,2563.0
AT2G06904,744.0
AT3G12030,747.0
AT3G44160,3149.0
AT1G47465,773.0
AT4G26620,3021.0
AT1G43900,1899.0
AT1G73750,2665.0
AT5G10400,786.0
AT5G22800,4432.5
AT2G41082,235.0
AT1G36200,3542.0
AT5G38743,498.0
AT3G21070,3638.5
AT3G13950,1629.0
AT4G30390,1177.0
AT4G12640,5037.0
AT5G19260,1332.0
AT1G61600,1517.0
AT1G13450,2087.5
AT5G41970,2111.0
AT3G03160,987.0
AT1G16700,2420.0
AT1G23550,2064.0
AT3G47165,474.0
AT3G43505,579.0
AT1G49740,2623.0
AT4G31020,1914.5
AT3G23900,4497.5
AT3G03480,1692.0
AT3G55870,3046.0
AT5G67550,2453.0
AT4G01410,1260.0
AT1G11400,2743.0
AT3G11530,1968.0
AT1G28100,3011.0
AT1G73720,5041.0
AT5G02050,1368.0
AT3G53150,1786.0
AT1G23650,87.0
AT5G45775,1498.5
AT1G59660,5245.0
AT5G42770,2620.0
AT1G75010,5286.0
AT2G25185,520.0
AT3G56140,3826.0
AT4G24630,2767.0
AT4G22415,4860.0
AT3G42714,300.0
AT3G49630,2552.0
AT4G06610,687.0
AT5G66830,1437.0
AT1G20500,2414.0
AT3G42410,3148.0
AT3G13560,3009.0
AT1G80000,4481.5
AT5G47990,1992.0
AT3G08620,2746.5
AT2G30750,1886.0
AT5G38960,1042.0
AT5G32169,777.0
AT4G12400,3106.5
AT1G04100,1740.0
AT1G30140,1112.5
AT4G08510,2935.0
AT5G55100,3711.5
AT2G09910,3813.0
AT5G23690,3172.0
AT4G18180,2231.0
AT1G50670,2190.0
AT2G07631,1188.0
AT2G01820,3572.0
AT2G11830,1381.0
AT2G25690,2384.0
AT1G06310,3746.0
AT2G40165,1645.0
AT5G38435,672.0
AT5G52740,951.0
AT3G01980,1783.0
AT1G63810,6492.0
AT3G04830,3180.0
AT5G59970,899.0
AT5G33223,840.0
AT3G54820,2551.0
AT4G08995,888.0
AT1G26350,772.0
AT5G32925,3594.0
AT5G53700,1645.5
AT2G40815,1607.0
AT3G24542,1411.0
AT5G41770,3277.0
AT1G77405,1396.0
AT4G35000,2998.0
AT5G04895,6173.0
AT5G64340,2979.0
AT4G17830,2394.0
AT5G27705,534.0
AT1G25211,1622.0
AT3G43890,2316.0
AT2G31360,2283.0
AT2G07669,767.0
AT2G20130,2198.0
AT5G08720,4123.0
AT5G04540,6122.0
AT5G43010,2911.0
AT1G80870,2500.0
AT3G27670,8197.0
AT3G62790,1297.0
AT1G26990,4650.0
AT5G03030,1336.5
AT4G28520,2230.0
AT3G13870,5917.5
AT1G47380,3721.0
AT2G28320,5024.0
AT1G35130,3472.0
AT2G20208,634.0
AT3G62400,710.5
AT3G47200,1801.0
AT3G12110,2310.0
AT1G01590,3585.0
AT3G52840,5259.5
AT1G27630,3234.0
AT5G65470,3124.0
AT3G22890,2411.0
AT1G05530,1666.0
AT3G32393,5641.0
AT3G52370,2514.5
AT4G20010,2166.0
AT1G63930,1610.0
AT3G19970,2918.0
AT1G75670,1664.0
AT1G35186,1378.0
AT3G27870,4900.0
AT5G51795,1112.0
AT3G52600,2470.0
AT2G40560,912.0
AT3G12080,4371.5
AT3G08560,1817.0
AT4G25940,3399.0
AT5G06870,1251.0
AT1G11770,1773.0
AT5G20130,1400.0
AT1G53570,3948.0
AT5G36990,1210.0
AT3G26610,3596.0
AT1G18460,3789.0
AT3G53400,2030.0
AT5G49555,3410.0
AT3G27740,2652.0
AT3G15800,2159.0
AT4G37510,2967.0
AT1G06645,1669.0
AT2G41000,1654.5
AT1G42300,1052.0
AT2G46390,934.0
AT5G20330,1602.0
AT1G35040,413.0
AT3G55420,1219.0
AT4G27750,2015.0
AT4G33700,3206.0
AT5G03530,2153.5
AT3G15000,2261.0
AT5G36680,2336.0
AT2G47200,757.0
AT5G37530,2810.5
AT4G05616,1596.0
AT2G15680,647.0
AT2G22300,5412.0
AT4G19680,1491.0
AT5G40400,2528.0
AT2G39270,1703.0
AT1G29550,1902.0
AT2G28900,1554.0
AT5G23250,2488.0
AT2G47940,4291.0
AT2G12520,1399.0
AT4G26870,2580.0
AT5G67200,3092.0
AT2G35733,192.0
AT5G36296,2814.0
AT2G04430,2613.0
AT2G05490,2829.0
AT1G12420,2594.0
AT5G15420,1139.0
AT3G51960,1780.0
AT2G47485,1025.0
AT1G06230,3999.5
AT1G28420,8260.0
AT5G10550,1919.0
AT1G26660,2259.0
AT1G36530,2675.0
AT5G66240,2311.0
AT1G27310,1687.0
AT2G46770,2192.0
AT3G17040,3470.0
AT1G76185,1207.0
AT1G04940,1649.0
AT3G23530,6412.0
AT5G36226,2437.0
AT4G21310,995.0
AT5G62340,934.0
AT3G27500,2420.0
AT3G31470,2082.0
AT4G16447,700.0
AT5G51200,14667.0
AT1G72590,1593.0
AT5G55850,1857.0
AT1G66050,3438.0
AT5G26890,252.0
AT1G76880,2912.0
AT1G29620,1655.0
AT5G02870,2037.0
AT1G11800,2107.0
AT4G29300,534.0
AT1G25240,1424.0
AT3G01380,5994.0
AT3G32168,2782.0
AT1G22830,2922.0
AT5G10040,435.0
AT1G31910,5897.0
AT1G28280,1740.5
AT3G33073,906.0
AT3G26445,627.0
AT5G49465,2350.0
AT4G29950,3526.0
AT2G38100,2106.0
AT4G09425,4047.0
AT1G13950,1502.0
AT5G20160,1414.0
AT2G13230,3741.0
AT2G12600,937.0
AT4G21760,2749.5
AT5G59000,2132.0
AT2G47885,243.0
AT4G15110,3472.0
AT1G51070,1878.5
AT1G72700,5997.0
AT4G22755,1902.0
AT4G18960,5684.0
AT1G75590,957.0
AT1G11475,1676.0
AT4G36350,2121.0
AT1G48110,3568.5
AT1G06830,550.0
AT5G63087,622.0
AT3G32080,1591.0
AT1G47780,671.0
AT2G18070,1138.0
AT4G20210,4902.0
AT2G18969,575.0
AT4G15080,4071.0
AT2G46995,280.0
AT4G33440,3431.0
AT5G05300,755.0
AT1G20910,4294.0
AT1G29650,5590.0
AT2G10223,486.0
AT1G69650,1324.0
AT1G49630,7789.0
AT2G04210,1463.0
AT1G02820,912.0
AT4G22080,2231.0
AT5G36736,501.0
AT3G15210,1260.0
AT2G40010,2394.0
AT3G31630,7288.0
AT3G01240,943.0
AT2G32900,4084.0
AT1G77880,1202.0
AT4G05510,2129.0
AT5G64770,851.0
AT2G04030,4298.0
AT4G29720,2066.0
AT4G25380,791.0
AT5G35590,2813.0
AT4G18750,3012.0
AT1G33680,4754.0
AT1G23280,2188.0
AT2G06800,2621.0
AT4G21540,3424.0
AT5G21482,3699.0
AT3G15095,2313.0
AT1G43280,1744.0
AT2G02240,1565.0
AT2G12066,574.0
AT5G16200,989.5
AT1G06515,1578.5
AT2G05370,1219.5
AT3G24430,3764.0
AT5G46115,607.0
AT5G43935,1268.0
AT4G04830,1290.0
AT4G11810,4014.0
AT1G23490,2235.0
AT5G54800,2803.0
AT5G09860,4392.0
AT3G50760,1566.0
AT5G44550,1442.0
AT1G28530,3654.0
AT5G60840,1075.0
AT1G63910,1992.0
AT4G13252,660.0
AT3G15400,1565.0
AT2G16150,2709.0
AT3G05630,5164.0
AT2G11205,246.0
AT4G02050,2370.5
AT1G64450,1303.0
AT2G07020,2726.0
AT2G38185,3243.5
AT1G10350,2239.0
AT3G30830,1986.0
AT4G18700,2261.0
AT2G33560,2452.5
AT5G33175,2421.0
AT4G32175,2169.0
AT5G23740,1516.0
AT2G13975,704.0
AT2G30810,841.0
AT2G14850,1767.0
AT2G44640,2154.0
AT2G44620,1135.0
AT3G59640,1857.0
AT2G19770,1791.0
AT2G06005,3761.5
AT5G39820,1481.0
AT2G35460,717.0
AT1G31350,1520.5
AT4G06559,2013.0
AT4G36730,2877.0
AT1G60970,1726.0
AT4G04230,2475.0
AT1G18420,2158.5
AT3G10210,1637.0
AT4G36195,3002.0
AT3G02010,2537.0
AT4G33380,3184.0
AT3G24260,1125.0
AT1G26620,4160.0
AT3G43610,6521.0
AT4G09464,538.0
AT1G70960,1110.0
AT5G61997,120.0
AT5G58770,1495.0
AT2G42880,4211.0
AT3G60880,1896.5
AT3G04640,778.0
AT1G74000,2486.0
AT4G18830,2109.0
AT4G27630,5425.0
AT5G46440,520.0
AT1G79750,4403.0
AT5G01980,2396.0
AT3G01470,2008.0
AT1G35035,279.0
AT5G42040,1185.0
AT5G46490,3128.5
AT2G19720,1376.0
AT5G01030,3456.0
AT4G06732,390.0
AT3G49670,3696.0
AT1G71140,2351.0
AT2G05647,285.0
AT3G58030,2721.0
AT1G37340,5616.0
AT1G24390,795.0
AT5G15060,1618.0
AT4G17780,1197.0
AT5G37170,1818.0
AT4G35335,2952.0
AT5G05010,3595.0
AT4G16080,1540.0
AT1G79010,2233.0
AT2G12905,219.0
AT2G02950,2649.0
AT4G26483,324.0
AT1G71920,2108.0
AT3G31380,935.0
AT3G61100,993.0
AT1G68480,1555.0
AT3G29510,4653.0
AT5G66640,2484.0
AT2G41070,1583.0
AT4G34490,3075.0
AT5G47710,1584.5
AT1G13810,1463.0
AT5G57770,2015.0
AT4G20645,1336.0
AT4G14010,866.0
AT2G02740,1902.0
AT5G05550,1961.0
AT2G29940,6822.0
AT5G07225,1607.0
AT3G11950,2574.0
AT1G61688,657.0
AT5G61530,2737.0
AT1G63860,4548.5
AT4G04655,7527.0
AT5G15460,2120.0
AT5G32594,2322.0
AT5G07175,1160.0
AT4G03550,6555.0
AT3G61980,967.0
AT1G77060,1938.0
AT5G14130,1444.0
AT3G61050,4079.0
AT2G40435,1872.0
AT4G13410,4026.0
AT5G41835,4959.0
AT5G55910,2602.0
AT4G11980,1932.0
AT5G51800,3879.0
AT4G06514,2216.0
AT5G60080,1729.0
AT1G54350,3546.0
AT5G41440,375.0
AT4G25690,1589.5
AT5G62065,572.0
AT5G06140,2909.0
AT4G11130,4184.0
AT5G06620,2507.0
AT3G22790,6447.0
AT1G08060,9343.0
AT2G32788,278.0
AT5G57220,2063.0
AT5G66650,4010.0
AT4G17000,3012.0
AT4G14276,522.0
AT4G22165,1092.0
AT3G21740,1913.0
AT2G31050,603.0
AT1G58280,2249.0
AT4G23290,3203.0
AT2G37080,3917.0
AT1G19550,708.0
AT3G23110,2508.0
AT3G26380,2846.0
AT1G02640,3754.0
AT5G22210,1274.0
AT3G43303,396.0
AT5G13770,2054.0
AT5G01510,4077.0
AT4G24940,2714.0
AT1G05150,2961.0
AT4G32560,2476.5
AT5G04720,3319.0
AT3G03770,3908.0
AT5G35146,984.0
AT5G53960,1029.0
AT2G47030,2351.0
AT3G55390,1274.0
AT4G38180,3230.0
AT3G24605,1348.0
AT2G07360,9927.0
AT4G29050,2248.5
AT4G06726,2991.0
AT1G62305,2683.0
AT5G53590,984.0
AT3G26590,3408.0
AT1G41830,4399.0
AT4G00950,1520.0
AT5G48970,2877.0
AT3G06570,1335.0
AT1G13730,2667.0
AT5G57920,1237.0
AT4G32208,1146.0
AT5G02780,1942.0
AT3G60860,7539.0
AT4G10760,3565.0
AT5G59290,2603.5
AT5G25900,2607.0
AT4G30860,3229.0
AT4G05594,462.0
AT2G02450,3283.0
AT3G27660,1622.5
AT5G45080,1974.0
AT4G25960,6337.0
AT3G27886,889.0
AT5G05965,1847.0
AT2G26250,2863.0
AT1G44070,3855.0
AT1G19160,1128.0
AT5G01590,2793.0
AT4G08138,4475.0
AT5G37930,1666.0
AT1G04380,1839.0
AT1G29750,6789.0
AT5G10910,2192.0
AT3G14790,2969.5
AT3G32280,6323.0
AT1G78830,1956.0
AT2G43990,2309.0
AT3G30582,4696.0
AT1G14685,1894.0
AT2G29630,3689.5
AT3G29794,1206.0
AT3G51340,2727.5
AT5G38980,727.0
AT2G26290,2454.0
AT3G03600,1159.0
AT3G59670,3251.0
AT3G02080,1496.0
AT1G23230,7520.0
AT1G53935,802.0
AT3G02340,1687.5
AT5G15040,988.0
AT1G42580,480.0
AT1G53282,406.0
AT3G43490,1221.0
AT3G59190,2320.0
AT3G23970,1242.0
AT5G13050,2201.5
AT3G52420,574.0
AT1G12570,3185.0
AT3G05870,1828.0
AT4G36440,3150.0
AT2G09970,700.0
AT2G01090,1398.0
AT2G05390,4018.0
AT2G35040,3170.5
AT2G27170,8282.5
AT1G28380,2873.0
AT2G12500,5650.0
AT5G01150,1843.0
AT5G11650,2335.5
AT3G30213,2783.0
AT1G31430,1818.0
AT1G79710,2212.0
AT4G12340,1363.0
AT3G28680,984.0
AT4G31650,2371.5
AT1G03910,4438.5
AT2G30350,1628.0
AT1G27090,2617.0
AT2G35350,3245.0
AT5G39910,2260.0
AT5G44080,2076.0
AT5G66320,2017.0
AT1G12740,2594.0
AT3G20898,1000.0
AT4G03010,1840.0
AT5G17380,2154.0
AT1G19610,734.0
AT5G18500,2971.0
AT5G58070,1356.0
AT3G11400,2259.0
AT4G09960,4312.5
AT4G06554,5940.0
AT2G03120,3169.0
AT2G11790,2188.0
AT3G51350,3278.0
AT2G05770,1124.0
AT2G36890,1732.0
AT5G17110,912.0
AT5G40070,569.0
AT1G33800,1586.0
AT4G35370,2407.0
AT3G26710,1530.0
AT4G13965,1439.0
AT4G16360,2077.0
AT2G31920,2714.0
AT5G53640,772.0
AT5G59460,1371.5
AT3G20865,459.0
AT1G71000,1281.0
AT3G46340,5240.0
AT3G26720,6746.0
AT5G38730,2093.0
AT4G16450,914.0
AT5G37920,1830.0
AT3G23420,1050.0
AT1G31817,1750.0
AT2G02720,2101.0
AT4G38005,231.0
AT1G44980,1668.0
AT2G39480,6549.5
AT3G23727,816.0
AT3G59820,4191.5
AT5G05420,784.0
AT5G48020,2456.0
AT4G05588,906.0
AT3G05130,2399.0
AT3G17970,4122.5
AT5G04410,3001.0
AT1G76430,3128.0
AT1G42393,657.0
AT5G62320,1218.0
AT5G28232,2553.0
AT5G59400,1697.0
AT1G68310,1988.0
AT5G38590,2014.5
AT3G20230,1495.0
AT3G20380,1874.0
AT5G67270,2094.0
AT5G02140,1109.0
AT3G07950,2773.0
AT5G40700,1791.0
AT3G20975,4756.0
AT5G47850,2522.0
AT1G56690,2363.0
AT4G06496,1158.0
AT1G12680,3389.0
AT1G22770,6040.0
AT5G08080,3146.0
AT1G27880,5506.0
AT5G59090,3371.0
AT3G60690,1190.0
AT2G40510,1510.0
AT1G55120,2838.0
AT3G52180,3963.0
AT3G44205,2301.0
AT1G55330,427.0
AT2G38300,2068.0
AT2G22200,1356.0
AT4G19420,4411.0
AT4G08520,3431.0
AT2G01818,2177.5
AT1G69670,2611.0
AT1G14230,2927.0
AT3G46740,3599.0
AT5G55340,1402.0
AT3G42791,2874.0
AT2G34500,2245.0
AT1G47606,702.0
AT4G37130,2658.0
AT4G14080,1822.0
AT4G13095,744.0
AT5G17660,2428.0
AT4G09510,2731.0
AT3G13660,995.0
AT1G30310,447.0
AT4G36640,2492.0
AT3G25440,1784.0
AT1G74220,1231.0
AT3G15050,1135.0
AT1G16330,5075.0
AT5G28420,855.0
AT1G47350,2276.0
AT5G18340,1989.0
AT4G39270,3544.0
AT2G44540,1892.0
AT1G67455,1388.5
AT3G29030,2190.0
AT5G46070,5504.0
AT4G18660,1393.0
AT2G25125,225.0
AT4G27060,3965.0
AT1G06760,1264.0
AT5G45000,2198.0
AT1G47710,2715.0
AT2G39500,1096.0
AT5G10350,2012.0
AT5G37500,5542.0
AT1G76950,5144.0
AT2G23150,2630.0
AT5G59940,2259.0
AT2G35300,634.0
AT3G18715,769.0
AT5G04475,338.0
AT1G73445,735.0
AT5G16040,2508.5
AT5G12860,2488.0
AT3G47520,2340.0
AT1G58215,3261.0
AT3G55190,2219.0
AT1G67390,2654.0
AT5G11140,959.0
AT2G38000,2267.0
AT1G22070,3007.0
AT1G27040,3131.0
AT2G14860,2088.0
AT5G27010,4255.0
AT1G79590,2623.0
AT3G49710,2166.0
AT4G05630,375.0
AT1G09180,950.0
AT2G10660,5550.0
AT3G58160,7901.0
AT5G14050,2197.0
AT1G27670,1217.0
AT5G40110,843.0
AT3G10680,1657.0
AT4G27370,6234.0
AT3G27070,1804.0
AT3G61780,4193.0
AT2G25240,1725.0
AT4G10810,848.0
AT3G20680,1127.0
AT5G42930,3681.5
AT1G38380,1597.0
AT1G15990,3060.0
AT1G54820,3760.0
AT2G42650,1711.0
AT3G28370,2867.0
AT5G58420,1636.0
AT4G37980,1923.5
AT1G01110,2707.0
AT1G48880,2518.0
AT5G44870,4546.0
AT1G51490,2616.0
AT4G27810,1548.0
AT3G20300,2687.0
AT5G60720,4080.0
AT3G51520,2165.0
AT4G12426,2871.0
AT5G12340,904.0
AT5G29000,2863.0
AT5G36805,264.0
AT5G57720,1918.0
AT1G15540,1453.5
AT2G32410,3552.0
AT5G37850,3795.0
AT3G56370,3982.0
AT2G47930,707.0
AT5G49350,1469.5
AT2G17265,1415.0
AT3G58270,2097.0
AT2G12280,398.0
AT4G34450,6286.0
AT4G00230,3643.0
AT5G38895,2062.0
AT1G08630,4176.0
AT2G35900,1958.0
AT5G26930,777.0
AT3G46120,3846.0
AT1G50730,7153.0
AT3G28250,366.0
AT2G15020,2088.0
AT5G54470,1236.0
AT3G52270,1962.0
AT5G63770,5155.5
AT3G10650,6055.0
AT1G48410,6597.0
AT2G32080,2057.5
AT1G17850,2901.5
AT1G45010,2112.5
AT3G05470,3655.0
AT1G74680,2023.0
AT5G20390,1498.0
AT3G25210,1712.0
AT5G05330,1770.0
AT5G66170,1080.0
AT2G17470,3697.0
AT2G24580,1956.0
AT5G22390,1241.0
AT1G40083,633.0
AT3G60050,1950.5
AT4G13570,1308.0
ATMG00830,1149.0
AT5G22700,3913.0
AT4G35220,1908.0
AT5G36120,846.0
AT3G07490,787.0
AT3G29766,2417.0
AT3G29720,1952.0
AT5G54420,276.0
AT5G55800,1737.0
AT2G10105,448.0
AT1G74900,1735.0
AT5G24270,4930.0
AT5G44220,888.0
AT5G44580,1402.0
AT3G46700,1908.0
AT1G50310,1938.5
AT2G42465,1588.0
AT2G28950,2459.0
AT3G27620,1663.0
AT1G13430,1281.0
AT3G17370,639.0
AT5G53490,1386.0
AT3G49890,1448.5
