Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUSG00000034623	Ensembl Gene Model	MGI:1918287	Prss55	serine protease 55	protein coding gene
ENSMUSG00000030223	Ensembl Gene Model	MGI:1097152	Ptpro	protein tyrosine phosphatase receptor type O	protein coding gene
ENSMUSG00000020038	Ensembl Gene Model	MGI:1270841	Cry1	cryptochrome circadian regulator 1	protein coding gene
ENSMUSG00000101935	Ensembl Gene Model	MGI:5009826	Gm17748	predicted gene, 17748	pseudogene
ENSMUSG00000083455	Ensembl Gene Model	MGI:3705613	Gm15037	predicted gene 15037	pseudogene
ENSMUSG00000081333	Ensembl Gene Model	MGI:3651667	Gm12307	predicted gene 12307	pseudogene
ENSMUSG00000096638	Ensembl Gene Model	MGI:4439624	Ighv2-9	immunoglobulin heavy variable 2-9	gene segment
ENSMUSG00000028048	Ensembl Gene Model	MGI:95665	Gba1	glucosylceramidase beta 1	protein coding gene
ENSMUSG00000103897	Ensembl Gene Model	MGI:1935221	Pcdhga8	protocadherin gamma subfamily A, 8	protein coding gene
ENSMUSG00000078686	Ensembl Gene Model	MGI:3782918	Mup9	major urinary protein 9	protein coding gene
ENSMUSG00000118395	Ensembl Gene Model	MGI:6324724	Gm50459	predicted gene, 50459	pseudogene
ENSMUSG00000081265	Ensembl Gene Model	MGI:3650570	Gm11282	predicted gene 11282	pseudogene
ENSMUSG00000100082	Ensembl Gene Model	MGI:5579120	Gm28414	predicted gene 28414	pseudogene
ENSMUSG00000036646	Ensembl Gene Model	MGI:2684954	Man1b1	mannosidase, alpha, class 1B, member 1	protein coding gene
ENSMUSG00000041132	Ensembl Gene Model	MGI:2140872	N4bp2l1	NEDD4 binding protein 2-like 1	protein coding gene
ENSMUSG00000100559	Ensembl Gene Model	MGI:5434159	Gm20803	predicted gene, 20803	pseudogene
ENSMUSG00000034744	Ensembl Gene Model	MGI:1860418	Nagk	N-acetylglucosamine kinase	protein coding gene
ENSMUSG00000078546	Ensembl Gene Model	MGI:1917331	Zfp995	zinc finger protein 995	protein coding gene
ENSMUSG00000058073	Ensembl Gene Model	MGI:3650984	Gm11189	predicted gene 11189	pseudogene
ENSMUSG00000032449	Ensembl Gene Model	MGI:1924909	Slc25a36	solute carrier family 25, member 36	protein coding gene
ENSMUSG00000048251	Ensembl Gene Model	MGI:1929913	Bcl11b	B cell leukemia/lymphoma 11B	protein coding gene
ENSMUSG00000022255	Ensembl Gene Model	MGI:1914404	Mtdh	metadherin	protein coding gene
ENSMUSG00000113962	Ensembl Gene Model	MGI:6096681	Gm47618	predicted gene, 47618	pseudogene
ENSMUSG00000073530	Ensembl Gene Model	MGI:3051647	Pappa2	pappalysin 2	protein coding gene
ENSMUSG00000020286	Ensembl Gene Model	MGI:1914608	1700093K21Rik	RIKEN cDNA 1700093K21 gene	protein coding gene
ENSMUSG00000093453	Ensembl Gene Model	MGI:3852486	Vmn1r-ps146	vomeronasal 1 receptor, pseudogene 146	pseudogene
ENSMUSG00000082666	Ensembl Gene Model	MGI:3649765	Gm13677	predicted gene 13677	pseudogene
ENSMUSG00000102076	Ensembl Gene Model	MGI:5295668	Gm20561	predicted gene, 20561	pseudogene
ENSMUSG00000081492	Ensembl Gene Model	MGI:3644818	Gm9311	predicted gene 9311	pseudogene
ENSMUSG00000109561	Ensembl Gene Model	MGI:5006716	Ankrd31	ankyrin repeat domain 31	protein coding gene
ENSMUSG00000058579	Ensembl Gene Model	MGI:95316	Cela2a	chymotrypsin-like elastase family, member 2A	protein coding gene
ENSMUSG00000100266	Ensembl Gene Model	MGI:3645790	Gm5372	predicted gene 5372	pseudogene
ENSMUSG00000058443	old symbol	MGI:3704336	Rpl10-ps3	ribosomal protein L10, pseudogene 3	pseudogene
ENSMUSG00000058443	Ensembl Gene Model	MGI:3704336	Rpl10-ps3	ribosomal protein L10, pseudogene 3	pseudogene
ENSMUSG00000049737	Ensembl Gene Model	MGI:3031195	Or2w6	olfactory receptor family 2 subfamily W member 6	protein coding gene
ENSMUSG00000031217	Ensembl Gene Model	MGI:102708	Efnb1	ephrin B1	protein coding gene
ENSMUSG00000082167	Ensembl Gene Model	MGI:3650347	Gm14360	predicted gene 14360	pseudogene
ENSMUSG00000035745	Ensembl Gene Model	MGI:2150393	Grin3b	glutamate receptor, ionotropic, NMDA3B	protein coding gene
ENSMUSG00000020866	Ensembl Gene Model	MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	protein coding gene
ENSMUSG00000033501	Ensembl Gene Model	MGI:1298216	Crygs	crystallin, gamma S	protein coding gene
ENSMUSG00000039221	Ensembl Gene Model	MGI:1915278	Rpl22l1	ribosomal protein L22 like 1	protein coding gene
ENSMUSG00000028960	Ensembl Gene Model	MGI:1927086	Ube4b	ubiquitination factor E4B	protein coding gene
ENSMUSG00000084191	Ensembl Gene Model	MGI:3705805	Gm15167	predicted gene 15167	pseudogene
ENSMUSG00000015401	Ensembl Gene Model	MGI:1926234	Cltrn	collectrin, amino acid transport regulator	protein coding gene
ENSMUSG00000084337	Ensembl Gene Model	MGI:3708105	Gm14986	predicted gene 14986	pseudogene
ENSMUSG00000048294	Ensembl Gene Model	MGI:1916714	Krtap4-13	keratin associated protein 4-13	protein coding gene
ENSMUSG00000068966	Ensembl Gene Model	MGI:2685195	Zbtb34	zinc finger and BTB domain containing 34	protein coding gene
ENSMUSG00000117267	Ensembl Gene Model	MGI:6270497	Gm49830	predicted gene, 49830	pseudogene
ENSMUSG00000095601	Ensembl Gene Model	MGI:5434440	Rhox3a2	reproductive homeobox 3A2	protein coding gene
ENSMUSG00000049409	Ensembl Gene Model	MGI:1929676	Prokr1	prokineticin receptor 1	protein coding gene
ENSMUSG00000039263	Ensembl Gene Model	MGI:2448523	Npepl1	aminopeptidase-like 1	protein coding gene
ENSMUSG00000079424	Ensembl Gene Model	MGI:3781437	Pramel47	PRAME like 47	protein coding gene
ENSMUSG00000095522	Ensembl Gene Model	MGI:3643798	Aadacl2fm3	AADACL2 family member 3	protein coding gene
ENSMUSG00000116992	Ensembl Gene Model	MGI:5588878	Gm29719	predicted gene, 29719	lncRNA gene
ENSMUSG00000036940	Ensembl Gene Model	MGI:1196256	Kdm1a	lysine (K)-specific demethylase 1A	protein coding gene
ENSMUSG00000113368	Ensembl Gene Model	MGI:3708564	Gm10054	predicted gene 10054	pseudogene
ENSMUSG00000059552	Ensembl Gene Model	MGI:98834	Trp53	transformation related protein 53	protein coding gene
ENSMUSG00000027035	Ensembl Gene Model	MGI:2442564	Cers6	ceramide synthase 6	protein coding gene
ENSMUSG00000031971	Ensembl Gene Model	MGI:1920670	Ccsap	centriole, cilia and spindle associated protein	protein coding gene
ENSMUSG00000100648	Ensembl Gene Model	MGI:5579365	Gm28659	predicted gene 28659	pseudogene
ENSMUSG00000073559	Ensembl Gene Model	MGI:3647540	Gm8618	predicted gene 8618	pseudogene
ENSMUSG00000104274	Ensembl Gene Model	MGI:3647094	Gm8823	predicted gene 8823	pseudogene
ENSMUSG00000109391	Ensembl Gene Model	MGI:5753599	Gm45023	predicted gene 45023	pseudogene
ENSMUSG00000018750	Ensembl Gene Model	MGI:1922830	Zbtb4	zinc finger and BTB domain containing 4	protein coding gene
ENSMUSG00000109710	Ensembl Gene Model	MGI:3646627	Gm4974	predicted gene 4974	pseudogene
ENSMUSG00000040105	Ensembl Gene Model	MGI:1921661	Plpp6	phospholipid phosphatase 6	protein coding gene
ENSMUSG00000045975	Ensembl Gene Model	MGI:1891883	C2cd2	C2 calcium-dependent domain containing 2	protein coding gene
ENSMUSG00000085521	Ensembl Gene Model	MGI:3612449	4930526A20Rik	RIKEN cDNA 4930526A20 gene	pseudogene
ENSMUSG00000024680	Ensembl Gene Model	MGI:95495	Ms4a2	membrane-spanning 4-domains, subfamily A, member 2	protein coding gene
ENSMUSG00000040541	Ensembl Gene Model	MGI:1922917	Tmem225	transmembrane protein 225	protein coding gene
ENSMUSG00000031517	Ensembl Gene Model	MGI:107671	Gpm6a	glycoprotein m6a	protein coding gene
ENSMUSG00000095813	Ensembl Gene Model	MGI:3630392	Defa-ps1	defensin, alpha, pseudogene 1	pseudogene
ENSMUSG00000016087	Ensembl Gene Model	MGI:95554	Fli1	Friend leukemia integration 1	protein coding gene
ENSMUSG00000116647	Ensembl Gene Model	MGI:3644727	Gm7423	predicted gene 7423	pseudogene
ENSMUSG00000039738	Ensembl Gene Model	MGI:106299	Slx4	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)	protein coding gene
ENSMUSG00000057914	Ensembl Gene Model	MGI:894644	Cacnb2	calcium channel, voltage-dependent, beta 2 subunit	protein coding gene
ENSMUSG00000038080	Ensembl Gene Model	MGI:2145261	Kdm1b	lysine (K)-specific demethylase 1B	protein coding gene
ENSMUSG00000026245	Ensembl Gene Model	MGI:1346035	Farsb	phenylalanyl-tRNA synthetase, beta subunit	protein coding gene
ENSMUSG00000096907	Ensembl Gene Model	MGI:3646518	Gm6113	predicted gene 6113	pseudogene
ENSMUSG00000109447	Ensembl Gene Model	MGI:3781377	Gm3198	predicted gene 3198	pseudogene
ENSMUSG00000030785	Ensembl Gene Model	MGI:104649	Cox6a2	cytochrome c oxidase subunit 6A2	protein coding gene
ENSMUSG00000030123	Ensembl Gene Model	MGI:2154244	Plxnd1	plexin D1	protein coding gene
ENSMUSG00000068824	Ensembl Gene Model	MGI:3030917	Or8k36-ps1	olfactory receptor family 8 subfamily K member 36, pseudogene 1	polymorphic pseudogene
ENSMUSG00000041187	Ensembl Gene Model	MGI:2141917	Prkd2	protein kinase D2	protein coding gene
ENSMUSG00000003228	Ensembl Gene Model	MGI:109161	Grk5	G protein-coupled receptor kinase 5	protein coding gene
ENSMUSG00000026421	Ensembl Gene Model	MGI:88549	Csrp1	cysteine and glycine-rich protein 1	protein coding gene
ENSMUSG00000031266	Ensembl Gene Model	MGI:1347344	Gla	galactosidase, alpha	protein coding gene
ENSMUSG00000036586	Ensembl Gene Model	MGI:1925248	Grifin	galectin-related inter-fiber protein	protein coding gene
ENSMUSG00000083808	Ensembl Gene Model	MGI:3782000	Gm3828	predicted gene 3828	pseudogene
ENSMUSG00000038025	Ensembl Gene Model	MGI:1338034	Phf2	PHD finger protein 2	protein coding gene
ENSMUSG00000021123	Ensembl Gene Model	MGI:1925224	Rdh12	retinol dehydrogenase 12	protein coding gene
ENSMUSG00000109098	Ensembl Gene Model	MGI:5010247	Gm18062	predicted gene, 18062	pseudogene
ENSMUSG00000073481	Ensembl Gene Model	MGI:1914497	Mtarc2	mitochondrial amidoxime reducing component 2	protein coding gene
ENSMUSG00000035614	Ensembl Gene Model	MGI:2684313	Togaram1	TOG array regulator of axonemal microtubules 1	protein coding gene
ENSMUSG00000028150	Ensembl Gene Model	MGI:104856	Rorc	RAR-related orphan receptor gamma	protein coding gene
ENSMUSG00000096156	Ensembl Gene Model	MGI:3645172	Gm9242	predicted pseudogene 9242	pseudogene
ENSMUSG00000100993	Ensembl Gene Model	MGI:5434059	Gm21895	predicted gene, 21895	pseudogene
ENSMUSG00000039956	Ensembl Gene Model	MGI:1924287	Mrap	melanocortin 2 receptor accessory protein	protein coding gene
ENSMUSG00000082624	Ensembl Gene Model	MGI:3650178	Gm12535	predicted gene 12535	pseudogene
ENSMUSG00000060743	Ensembl Gene Model	MGI:1097686	H3f3a	H3.3 histone A	protein coding gene
ENSMUSG00000078173	Ensembl Gene Model	MGI:1930020	Lenep	lens epithelial protein	protein coding gene
ENSMUSG00000048067	Ensembl Gene Model	MGI:3031183	Or10am5	olfactory receptor family 10 subfamily AM member 5	protein coding gene
ENSMUSG00000093969	Ensembl Gene Model	MGI:3704439	Trav4n-4	T cell receptor alpha variable 4N-4	gene segment
ENSMUSG00000111572	Ensembl Gene Model	MGI:3781206	Gm3028	predicted gene 3028	pseudogene
ENSMUSG00000106090	Ensembl Gene Model	MGI:5663841	Gm43704	predicted gene 43704	pseudogene
ENSMUSG00000114008	Ensembl Gene Model	MGI:6097348	Gm48033	predicted gene, 48033	pseudogene
ENSMUSG00000117875	Ensembl Gene Model	MGI:3643581	Gm6789	predicted gene 6789	pseudogene
ENSMUSG00000099396	Ensembl Gene Model	MGI:5579969	Gm29263	predicted gene 29263	pseudogene
ENSMUSG00000110190	Ensembl Gene Model	MGI:3708487	Zscan4-ps2	zinc finger and SCAN domain containing 4, pseudogene 2	pseudogene
ENSMUSG00000094052	Ensembl Gene Model	MGI:5434473	Gm21118	predicted gene, 21118	protein coding gene
ENSMUSG00000109507	Ensembl Gene Model	MGI:5010744	Gm18559	predicted gene, 18559	pseudogene
ENSMUSG00000020621	Ensembl Gene Model	MGI:1920402	Rdh14	retinol dehydrogenase 14 (all-trans and 9-cis)	protein coding gene
ENSMUSG00000101917	Ensembl Gene Model	MGI:5580018	Gm29312	predicted gene 29312	pseudogene
ENSMUSG00000089630	Ensembl Gene Model	MGI:3779639	Gm6903	predicted gene 6903	pseudogene
ENSMUSG00000121577		No associated gene			
ENSMUSG00000044528	Ensembl Gene Model	MGI:2443503	Tram1l1	translocation associated membrane protein 1-like 1	protein coding gene
ENSMUSG00000099862	Ensembl Gene Model	MGI:5579642	Gm28936	predicted gene 28936	pseudogene
ENSMUSG00000022032	Ensembl Gene Model	MGI:1918395	Scara5	scavenger receptor class A, member 5	protein coding gene
ENSMUSG00000101354	Ensembl Gene Model	MGI:5579679	Gm28973	predicted gene 28973	pseudogene
ENSMUSG00000102479	Ensembl Gene Model	MGI:5010736	Gm18551	predicted gene, 18551	pseudogene
ENSMUSG00000100439	Ensembl Gene Model	MGI:5579628	Gm28922	predicted gene 28922	pseudogene
ENSMUSG00000082259	Ensembl Gene Model	MGI:3649745	Gm13808	predicted gene 13808	pseudogene
ENSMUSG00000054293	Ensembl Gene Model	MGI:2441814	P2ry10b	purinergic receptor P2Y, G-protein coupled 10B	protein coding gene
ENSMUSG00000080808	Ensembl Gene Model	MGI:3652144	Gm12608	predicted gene 12608	pseudogene
ENSMUSG00000118142	Ensembl Gene Model	MGI:5011497	Gm19312	predicted gene, 19312	pseudogene
ENSMUSG00000026535	Ensembl Gene Model	MGI:1347083	Ifi202b	interferon activated gene 202B	protein coding gene
ENSMUSG00000081745	Ensembl Gene Model	MGI:3782998	Gm15549	predicted gene 15549	pseudogene
ENSMUSG00000113854	Ensembl Gene Model	MGI:3780266	Gm2099	predicted gene 2099	pseudogene
ENSMUSG00000090747	Ensembl Gene Model	MGI:4937129	Esp8	exocrine gland secreted peptide 8	protein coding gene
ENSMUSG00000022875	Ensembl Gene Model	MGI:1097705	Kng1	kininogen 1	protein coding gene
ENSMUSG00000004415	Ensembl Gene Model	MGI:2155345	Col26a1	collagen, type XXVI, alpha 1	protein coding gene
ENSMUSG00000046456	Ensembl Gene Model	MGI:2679718	Tmem150b	transmembrane protein 150B	protein coding gene
ENSMUSG00000025730	Ensembl Gene Model	MGI:2183454	Rab40c	Rab40C, member RAS oncogene family	protein coding gene
ENSMUSG00000033955	Ensembl Gene Model	MGI:2446193	Tnks1bp1	tankyrase 1 binding protein 1	protein coding gene
ENSMUSG00000020652	Ensembl Gene Model	MGI:1923800	Cenpo	centromere protein O	protein coding gene
ENSMUSG00000006301	Ensembl Gene Model	MGI:1916910	Tmbim1	transmembrane BAX inhibitor motif containing 1	protein coding gene
ENSMUSG00000081898	Ensembl Gene Model	MGI:3646109	Gm5754	predicted gene 5754	pseudogene
ENSMUSG00000100476	Ensembl Gene Model	MGI:3051570	Nanog-ps2	Nanog pseudogene 2	pseudogene
ENSMUSG00000028140	Ensembl Gene Model	MGI:2137211	Mrpl9	mitochondrial ribosomal protein L9	protein coding gene
ENSMUSG00000044813	Ensembl Gene Model	MGI:98294	Shb	src homology 2 domain-containing transforming protein B	protein coding gene
ENSMUSG00000098485	Ensembl Gene Model	MGI:3648219	Gm6956	predicted gene 6956	pseudogene
ENSMUSG00000083471	Ensembl Gene Model	MGI:3652027	Gm12118	predicted gene 12118	pseudogene
ENSMUSG00000028702	Ensembl Gene Model	MGI:894697	Rad54l	RAD54 like (S. cerevisiae)	protein coding gene
ENSMUSG00000036452	Ensembl Gene Model	MGI:1918552	Arhgap26	Rho GTPase activating protein 26	protein coding gene
ENSMUSG00000032571	Ensembl Gene Model	MGI:1922919	Pik3r4	phosphoinositide-3-kinase regulatory subunit 4	protein coding gene
ENSMUSG00000100194	Ensembl Gene Model	MGI:3800824	Tgif2lx2	TGFB-induced factor homeobox 2-like, X-linked 2	protein coding gene
ENSMUSG00000027229	Ensembl Gene Model	MGI:1921651	Terb2	telomere repeat binding bouquet formation protein 2	protein coding gene
ENSMUSG00000096794	Ensembl Gene Model	MGI:3030739	Or8b1c	olfactory receptor family 8 subfamily B member 1C	protein coding gene
ENSMUSG00000106216	Ensembl Gene Model	MGI:5009857	Igkv13-61-1	immunoglobulin kappa chain variable 13-61-1	pseudogenic gene segment
ENSMUSG00000033255	Ensembl Gene Model	MGI:3646667	Gm5134	predicted gene 5134	protein coding gene
ENSMUSG00000109960	Ensembl Gene Model	MGI:5791411	Gm45575	predicted gene 45575	pseudogene
ENSMUSG00000022553	Ensembl Gene Model	MGI:1916127	Maf1	MAF1 homolog, negative regulator of RNA polymerase III	protein coding gene
ENSMUSG00000086882	Ensembl Gene Model	MGI:3651070	Gm13352	predicted gene 13352	pseudogene
ENSMUSG00000071771	Ensembl Gene Model	MGI:1930129	Rhox4b	reproductive homeobox 4B	protein coding gene
ENSMUSG00000051392	Ensembl Gene Model	MGI:3031236	Or13l2	olfactory receptor family 13 subfamily L member 2	protein coding gene
ENSMUSG00000002831	Ensembl Gene Model	MGI:1929709	Plin4	perilipin 4	protein coding gene
ENSMUSG00000004798	Ensembl Gene Model	MGI:1352758	Ulk2	unc-51 like kinase 2	protein coding gene
ENSMUSG00000038224	Ensembl Gene Model	MGI:107173	Serpinf2	serine (or cysteine) peptidase inhibitor, clade F, member 2	protein coding gene
ENSMUSG00000020923	Ensembl Gene Model	MGI:98512	Ubtf	upstream binding transcription factor, RNA polymerase I	protein coding gene
ENSMUSG00000081122	Ensembl Gene Model	MGI:3649764	Gm13678	predicted gene 13678	pseudogene
ENSMUSG00000082545	Ensembl Gene Model	MGI:3650409	Gm12196	predicted gene 12196	pseudogene
ENSMUSG00000067541	Ensembl Gene Model	MGI:2686534	A630073D07Rik	RIKEN cDNA A630073D07 gene	protein coding gene
ENSMUSG00000074625	Ensembl Gene Model	MGI:3649852	Arhgap40	Rho GTPase activating protein 40	protein coding gene
ENSMUSG00000111320	Ensembl Gene Model	MGI:6098096	Gm48546	predicted gene, 48546	pseudogene
ENSMUSG00000083469	Ensembl Gene Model	MGI:3650417	Gm14281	predicted gene 14281	pseudogene
ENSMUSG00000094029	Ensembl Gene Model	MGI:3643949	Ighv3-3	immunoglobulin heavy variable V3-3	gene segment
ENSMUSG00000094881	Ensembl Gene Model	MGI:3779546	H2al2c	H2A histone family member L2C	protein coding gene
ENSMUSG00000032332	Ensembl Gene Model	MGI:88448	Col12a1	collagen, type XII, alpha 1	protein coding gene
ENSMUSG00000050578	Ensembl Gene Model	MGI:1340026	Mmp13	matrix metallopeptidase 13	protein coding gene
ENSMUSG00000104902	Ensembl Gene Model	MGI:5589676	Gm30517	predicted gene, 30517	pseudogene
ENSMUSG00000098130	Ensembl Gene Model	MGI:5009983	Gm17797	predicted gene, 17797	pseudogene
ENSMUSG00000093724	Ensembl Gene Model	MGI:3761513	Vmn2r-ps32	vomeronasal 2, receptor, pseudogene 32	pseudogene
ENSMUSG00000018661	Ensembl Gene Model	MGI:1333873	Cog1	component of oligomeric golgi complex 1	protein coding gene
ENSMUSG00000069227	Ensembl Gene Model	MGI:1349455	Gprin1	G protein-regulated inducer of neurite outgrowth 1	protein coding gene
ENSMUSG00000084330	Ensembl Gene Model	MGI:3705840	Gm15019	predicted gene 15019	pseudogene
ENSMUSG00000082569	Ensembl Gene Model	MGI:3650769	Gm12634	predicted gene 12634	pseudogene
ENSMUSG00000081735	Ensembl Gene Model	MGI:3705621	Gm14530	predicted gene 14530	pseudogene
ENSMUSG00000081602	Ensembl Gene Model	MGI:3707466	Gm15369	predicted gene 15369	pseudogene
ENSMUSG00000057596	Ensembl Gene Model	MGI:3035181	Trim30d	tripartite motif-containing 30D	protein coding gene
ENSMUSG00000112160	Ensembl Gene Model	MGI:2670978	BC024063	cDNA sequence BC024063	protein coding gene
ENSMUSG00000117924	Ensembl Gene Model	MGI:1914086	Tmem223	transmembrane protein 223	protein coding gene
ENSMUSG00000105800	Ensembl Gene Model	MGI:5011170	Gm18985	predicted gene, 18985	pseudogene
ENSMUSG00000052139	Ensembl Gene Model	MGI:1333875	Babam2	BRISC and BRCA1 A complex member 2	protein coding gene
ENSMUSG00000117904	Ensembl Gene Model	MGI:3644946	Gm7447	predicted gene 7447	pseudogene
ENSMUSG00000053747	Ensembl Gene Model	MGI:98362	Sox14	SRY (sex determining region Y)-box 14	protein coding gene
ENSMUSG00000108629	Ensembl Gene Model	MGI:5753296	Gm44720	predicted gene 44720	pseudogene
ENSMUSG00000022665	Ensembl Gene Model	MGI:1915146	Ccdc80	coiled-coil domain containing 80	protein coding gene
ENSMUSG00000001622	Ensembl Gene Model	MGI:107461	Csn3	casein kappa	protein coding gene
ENSMUSG00000101818	Ensembl Gene Model	MGI:5578975	Gm28269	predicted gene 28269	protein coding gene
ENSMUSG00000121515		No associated gene			
ENSMUSG00000009112	Ensembl Gene Model	MGI:2136959	Bcl2l13	BCL2 like 13	protein coding gene
ENSMUSG00000095115	Ensembl Gene Model	MGI:2442416	Itpripl2	inositol 1,4,5-triphosphate receptor interacting protein-like 2	protein coding gene
ENSMUSG00000021721	Ensembl Gene Model	MGI:96273	Htr1a	5-hydroxytryptamine (serotonin) receptor 1A	protein coding gene
ENSMUSG00000057092	Ensembl Gene Model	MGI:107497	Fxyd3	FXYD domain-containing ion transport regulator 3	protein coding gene
ENSMUSG00000111551	Ensembl Gene Model	MGI:6097487	Gm48128	predicted gene, 48128	pseudogene
ENSMUSG00000112893	Ensembl Gene Model	MGI:3779991	Gm9583	predicted gene 9583	pseudogene
ENSMUSG00000056820	Ensembl Gene Model	MGI:1855672	Tsnax	translin-associated factor X	protein coding gene
ENSMUSG00000032387	Ensembl Gene Model	MGI:1919223	Rbpms2	RNA binding protein with multiple splicing 2	protein coding gene
ENSMUSG00000054763	Ensembl Gene Model	MGI:3033850	Defb42	defensin beta 42	protein coding gene
ENSMUSG00000025134	Ensembl Gene Model	MGI:1341044	Alyref	Aly/REF export factor	protein coding gene
ENSMUSG00000045790	Ensembl Gene Model	MGI:2685293	Ccdc149	coiled-coil domain containing 149	protein coding gene
ENSMUSG00000039021	Ensembl Gene Model	MGI:2443048	Ttc16	tetratricopeptide repeat domain 16	protein coding gene
ENSMUSG00000002524	Ensembl Gene Model	MGI:1915209	Puf60	poly-U binding splicing factor 60	protein coding gene
ENSMUSG00000041881	Ensembl Gene Model	MGI:1913666	Ndufa7	NADH:ubiquinone oxidoreductase subunit A7	protein coding gene
ENSMUSG00000044033	Ensembl Gene Model	MGI:1919735	Ccdc141	coiled-coil domain containing 141	protein coding gene
ENSMUSG00000081666	Ensembl Gene Model	MGI:3649553	Gm11677	predicted gene 11677	pseudogene
ENSMUSG00000029713	Ensembl Gene Model	MGI:95784	Gnb2	guanine nucleotide binding protein (G protein), beta 2	protein coding gene
ENSMUSG00000044197	Ensembl Gene Model	MGI:1933113	Gpr146	G protein-coupled receptor 146	protein coding gene
ENSMUSG00000058248	Ensembl Gene Model	MGI:1341721	Kcnh1	potassium voltage-gated channel, subfamily H (eag-related), member 1	protein coding gene
ENSMUSG00000032080	Ensembl Gene Model	MGI:88051	Apoa4	apolipoprotein A-IV	protein coding gene
ENSMUSG00000032637	Ensembl Gene Model	MGI:2446242	Atxn2l	ataxin 2-like	protein coding gene
ENSMUSG00000042377	Ensembl Gene Model	MGI:1916890	Fam83g	family with sequence similarity 83, member G	protein coding gene
ENSMUSG00000081873	Ensembl Gene Model	MGI:3708123	Gm15197	predicted gene 15197	pseudogene
ENSMUSG00000110099	Ensembl Gene Model	MGI:5791180	Gm45344	predicted gene 45344	pseudogene
ENSMUSG00000021697	Ensembl Gene Model	MGI:2145425	Depdc1b	DEP domain containing 1B	protein coding gene
ENSMUSG00000118105	Ensembl Gene Model	MGI:5009999	Gm17814	predicted gene, 17814	pseudogene
ENSMUSG00000032735	Ensembl Gene Model	MGI:2442582	Ablim3	actin binding LIM protein family, member 3	protein coding gene
ENSMUSG00000073963	Ensembl Gene Model	MGI:3030406	Or51h5	olfactory receptor family 51 subfamily H member 5	protein coding gene
ENSMUSG00000041907	Ensembl Gene Model	MGI:2135882	Gpr45	G protein-coupled receptor 45	protein coding gene
ENSMUSG00000075379	Ensembl Gene Model	MGI:3030192	Or12k5	olfactory receptor family 12 subfamily K member 5	protein coding gene
ENSMUSG00000083100	Ensembl Gene Model	MGI:3648725	Gm6044	predicted gene 6044	pseudogene
ENSMUSG00000032114	Ensembl Gene Model	MGI:1316650	Slc37a4	solute carrier family 37 (glucose-6-phosphate transporter), member 4	protein coding gene
ENSMUSG00000082870	Ensembl Gene Model	MGI:3650634	Gm12165	predicted gene 12165	pseudogene
ENSMUSG00000032463	Ensembl Gene Model	MGI:1344387	Faim	Fas apoptotic inhibitory molecule	protein coding gene
ENSMUSG00000042524	Ensembl Gene Model	MGI:2443011	Sun2	Sad1 and UNC84 domain containing 2	protein coding gene
ENSMUSG00000059183	Ensembl Gene Model	MGI:1916856	Mtfmt	mitochondrial methionyl-tRNA formyltransferase	protein coding gene
ENSMUSG00000032459	Ensembl Gene Model	MGI:1928137	Mrps22	mitochondrial ribosomal protein S22	protein coding gene
ENSMUSG00000021413	Ensembl Gene Model	MGI:109584	Prpf4b	pre-mRNA processing factor 4B	protein coding gene
ENSMUSG00000083202	Ensembl Gene Model	MGI:3651412	Gm12388	predicted gene 12388	pseudogene
ENSMUSG00000101005	Ensembl Gene Model	MGI:5434227	Gm20871	predicted gene, 20871	pseudogene
ENSMUSG00000076613	Ensembl Gene Model	MGI:96445	Ighg2b	immunoglobulin heavy constant gamma 2B	gene segment
ENSMUSG00000042894	Ensembl Gene Model	MGI:3031094	Or4c35	olfactory receptor family 4 subfamily C member 35	protein coding gene
ENSMUSG00000106201	Ensembl Gene Model	MGI:3646285	Gm7815	predicted gene 7815	pseudogene
ENSMUSG00000049719	Ensembl Gene Model	MGI:1921556	Prss46	serine protease 46	protein coding gene
ENSMUSG00000106353	Ensembl Gene Model	MGI:5663863	Gm43726	predicted gene 43726	pseudogene
ENSMUSG00000113069	Ensembl Gene Model	MGI:6098087	Gm48541	predicted gene, 48541	pseudogene
ENSMUSG00000083617	Ensembl Gene Model	MGI:3644210	Gm5390	predicted gene 5390	pseudogene
ENSMUSG00000083886	Ensembl Gene Model	MGI:3030243	Or1p4-ps1	olfactory receptor family 1 subfamily P member 4, pseudogene 1	polymorphic pseudogene
ENSMUSG00000027902	Ensembl Gene Model	MGI:2682303	Chil6	chitinase-like 6	protein coding gene
ENSMUSG00000082014	Ensembl Gene Model	MGI:3651829	Gm11371	predicted gene 11371	pseudogene
ENSMUSG00000101431	Ensembl Gene Model	MGI:3645047	Gm7901	predicted gene 7901	pseudogene
ENSMUSG00000082526	Ensembl Gene Model	MGI:3649384	Gm14067	predicted gene 14067	pseudogene
ENSMUSG00000021797	Ensembl Gene Model	MGI:1925493	9230112D13Rik	RIKEN cDNA 9230112D13 gene	protein coding gene
ENSMUSG00000117862	Ensembl Gene Model	MGI:5594940	Gm35781	predicted gene, 35781	pseudogene
ENSMUSG00000048933	Ensembl Gene Model	MGI:3030556	Or4n5	olfactory receptor family 4 subfamily N member 5	protein coding gene
